Species,Spawning,RepGuild1,RepGuild2,AddInfos
Anabas testudineus,one clear seasonal peak per year,guarders,clutch tenders,Guards eggs at the surface of hypoxic waters (Ref. 7471).
Anableps anableps,NA,bearers,internal live bearers,Length at birth 4.5 5.2 cm TL (Ref. 35237).
Apistogramma borellii,NA,guarders,clutch tenders,"Produces 50-70 eggs. The eggs are attached to the ceiling of caves, female cares for eggs and larvae. (Ref. 1672)."
Andinoacara latifrons,NA,guarders,clutch tenders,Spawn up to 800 oval eggs of 1.2 mm diameter on flat substrate; both parents defend eggs and larvae (Ref. 40602).
Anguilla anguilla,once in a lifetime,nonguarders,open water/substratum egg scatterers,"Catadromous species. When sexual maturity is reached they leave the river. Spawning migrations occur mainly during the second half of the year but have been observed year-round, usually commencing during dark nights (Ref. 172). Maturity is obtained during the spawning migration (Ref. 88171). Actual spawning has never been observed but is believed to occur solely in the Sargasso Sea between March and June (Ref. 89144). After spawning (at 600 m depth) adults die. Sigmund Freud described the testicles of eel (Ref. 72449)."
Anguilla japonica,once in a lifetime,nonguarders,open water/substratum egg scatterers,Assuming reproductive mode to be the same as that of <i>Anguilla anguilla</i>.
Anguilla rostrata,once in a lifetime,nonguarders,open water/substratum egg scatterers,"Undertakes migration in autumn to the Sargasso Sea where spawning is said to take place. Coloration changes with sexual maturation. Dorsal surface of the pectorals becomes dark, lateral line becomes prominent, eye diameter increases and visual pigments change, body takes on a silvery bronze coloration. Females are usually larger than males and migrate much farther upstream (Ref. 57533).  Adults die after spawning (Ref. 30499).
Spawn at sea but growth occurs in estuaries or freshwater (Ref. 7135). Spawning grounds believed to be between 20° and 30°N and 60°and 75°W (Ref. 40916, 40917)."
Anoplopoma fimbria,NA,nonguarders,open water/substratum egg scatterers,NA
Anthias anthias,NA,nonguarders,NA,Protogyny is unconfirmed for this species (Ref. 103751).
Aphyocharax anisitsi,NA,nonguarders,open water/substratum egg scatterers,"In the tank, spawning occurs usually in early morning, after a period of very active driving by the male. Female lays numerous glass-clear eggs, sometimes 700 to 800, which sink to the bottom of the tank. Eggs hatch in about 20 to 25 hours (Ref. 7020). 
Number of hooks present in the anal fin rays and frequency of occurrence of gill glands suggest stage of maturation in males (Ref. 58431)."
Aphyocharax dentatus,NA,nonguarders,open water/substratum egg scatterers,Spawns in schools near the surface.
Apistogramma commbrae,NA,guarders,clutch tenders,"Max. 80 eggs are deposited on the cave ceiling. Female clutch tender, but male often takes part in caring for eggs and larvae (Ref. 47893)."
Apistogramma trifasciata,NA,guarders,clutch tenders,"Harem family, usually 1 male and 3 females. Lays up to 100 eggs in caves. Both sexes defend eggs and larvae (Ref. 1672)."
Arapaima gigas,one clear seasonal peak per year,bearers,external brooders,NA
Arctoscopus japonicus,NA,nonguarders,open water/substratum egg scatterers,NA
Ariopsis seemanni,NA,bearers,external brooders,Males mouthbrooder.
Asterropteryx semipunctata,NA,guarders,NA,Benthic spawner.
Astronotus ocellatus,NA,guarders,clutch tenders,"In captivity, both male and female clean a suitable spawning site - often a flat rock , or branches, or in a circular nest excavated in shallow water (Ref. 44091). Eggs (usually numbering in the thousands, Ref. 44091) are deposited and are guarded by both parents. Egg hatch in 3 or 4 days and parent move the fry to a shallow pit in the sand where they remain for 6 or 7 days (Ref. 7020).   "
Astyanax jordani,NA,nonguarders,brood hiders,"Expels eggs in a more or less haphazard fashion, the substrate on which the species spawns must have crevices and pores into which the adhesive eggs can roll and be hidden so to prevent predation by its parents or other cave inhabitants."
Astyanax mexicanus,NA,nonguarders,brood hiders,Hides eggs in crevices.      
Atractosteus tropicus,NA,nonguarders,open water/substratum egg scatterers,NA
Badis badis,NA,guarders,nesters,Produces 30-100 eggs. Distinct pairing with embrace (Ref. 31218).
Bathygobius fuscus,NA,NA,NA,Benthic spawner. Also Ref. 32023.
Belonesox belizanus,NA,bearers,internal live bearers,Produces up to 100 eggs.
Betta splendens,NA,guarders,nesters,Builds bubble-nest which is guarded by male.
Biotodoma cupido,NA,guarders,clutch tenders,NA
Biotoecus opercularis,NA,NA,NA,NA
Carassius carassius,one clear seasonal peak per year,nonguarders,open water/substratum egg scatterers,"Females spawn multiple times during the spawning period (Ref. 88808). Reproduction in May-June in shallow water with dense vegetation, eggs 130000-250000/female adhere to plants, hatch after 4-8 days (Ref. 2163). Individual  female spawn with several males. Males follow ripe females, often with much splashing. Eggs are sticky and are attached to water plants (Ref. 59043)."
Bujurquina vittata,NA,bearers,external brooders,"Spawn up to 400 eggs on fallen leaves, which may be pulled around, possibly in reaction to predators or water level changes. Both parents defend the eggs and take the yolk-sac larvae in their mouth (Ref. 40602)."
Bunocephalus coracoideus,NA,NA,NA,Spawns in up to 30 cm deep water (Ref.1672).
Callionymus lyra,NA,nonguarders,open water/substratum egg scatterers,"Complex courtship behavior with 4 phases: courtship, pairing, ascending, releasing eggs and milt (Ref. 5968)."
Callochromis pleurospilus,NA,NA,NA,NA
Carassius auratus,one clear seasonal peak per year,nonguarders,open water/substratum egg scatterers,"Cold water temperatures during the winter months are necessary for proper ova development (Ref. 44091). Spawning takes place in shallow water among weeds, often where willow roots grow exposed in water (Ref. 39171), also meadows inundated by spring flood (Ref. 39176). Spawning activity begin just before dawn (Ref. 39168), to midafternoon (Ref. 39177). Individual fish spawn 3-10 lots of eggs at intervals of 8-10 days (Ref. 39180). Juveniles need high temperature to grow. Eggs are sticky, attached to water plants or submerged objects (Ref. 59043). Females spawn multiple times during the spawning period (Ref. 88808)."
Carcharhinus falciformis,no obvious seasonal peak,bearers,internal live bearers,"Viviparous, placental (Ref. 50449).  2-15 pups (Ref. 6871, 37816) born at 57-87 cm TL (Ref. 9997); 1-16 pups born at 55-72 cm TL. Females appear to breed every year, but there appears to be no reproductive seasonality (Ref. 58048).  Distinct pairing with embrace (Ref. 205)."
Centrophorus squamosus,NA,bearers,internal live bearers,"Ovoviviparous, embryos feed solely on yolk (Ref. 50449).  Young numbers 5-8 in a litter (Ref. 6871). Size at birth 35-43 cm (Ref. 26346). Distinct pairing with embrace (Ref. 205)."
Carnegiella marthae,NA,nonguarders,NA,NA
Centropyge bispinosa,NA,nonguarders,open water/substratum egg scatterers,NA
Centroscymnus coelolepis,NA,bearers,internal live bearers,"Ovoviviparous (Ref. 6871), with 13 to 29 young per litter (Ref. 26346). Born at 27-31 cm (Ref. 26346). Distinct pairing with embrace (Ref. 205)."
Chaetobranchus flavescens,NA,NA,NA,NA
Chaetodon miliaris,NA,nonguarders,open water/substratum egg scatterers,Distinct pairing (Ref. 205).
Chaetodon multicinctus,NA,nonguarders,open water/substratum egg scatterers,"Form pairs during breeding (Ref. 205). Monogamous mating is observed as obligate, genetic and social (Ref. 52884)."
Chaetodon vagabundus,NA,nonguarders,open water/substratum egg scatterers,"Distinct pairing (Ref. 205). Stable monogamous pairs with both pair members jointly defending a feeding territory.  Pelagic larvae settle to shallow (<4 m) back reef habitats consisting of rubble, seagrass and low coral cover (Ref. 58331).  Monogamous mating is observed as both obligate and social (Ref. 52884)."
Champsocephalus gunnari,one clear seasonal peak per year,nonguarders,open water/substratum egg scatterers,NA
Channa argus,NA,guarders,clutch tenders,NA
Channa gachua,NA,bearers,external brooders,Male broods the eggs and fry in his mouth (Ref. 85309).
Channa micropeltes,NA,guarders,NA,NA
Channa punctata,two seasonal peaks per year,guarders,nesters,Spawning usually takes place at night in shallow water with a silty substrate. Eggs are laid in nests through elaborate tunnels in vegetated areas which look like vertical columns of water with the eggs floating in the center (Ref. 205). The male and female move towards the center of the nest during spawning where the male entwines his body to the female moving upward while releasing the eggs to be fertilised (Ref. 45309). Eggs are guarded by one or both parents. Hatching takes place in a day (Ref. 6028).
Channa striata,variable throughout range,guarders,clutch tenders,"Breeds in ditches, ponds and flooded paddy fields. Young shoal at the surface and are guarded by the male parent (Ref. 54793), hiding below the surface water (Ref. 1479). In captivity, as soon as the male bends its body close to the female during mating, milt is released following the release of the eggs (Ref. 45162)."
Characidium fasciatum,NA,nonguarders,open water/substratum egg scatterers,NA
Cheilopogon heterurus,NA,nonguarders,NA,NA
Chelon labrosus,NA,nonguarders,open water/substratum egg scatterers,Juveniles around 2.0 cm SL move to coastal lagoons and estuaries in April-June and return to sea in summer (Ref. 59043).
Chilodus punctatus,NA,nonguarders,open water/substratum egg scatterers,NA
Cichlasoma paranaense,NA,guarders,clutch tenders,NA
Chimaera phantasma,NA,nonguarders,open water/substratum egg scatterers,Oviparous (Ref. 205).
Chionodraco hamatus,one clear seasonal peak per year,nonguarders,open water/substratum egg scatterers,NA
Chitala chitala,NA,guarders,clutch tenders,The male tends the clutch (Ref. 2060).
Chromobotia macracanthus,one clear seasonal peak per year,nonguarders,brood hiders,Breeding occurs at the beginning of the rainy season in fast flowing rivers (Ref. 1672).
Chrosomus eos,NA,nonguarders,open water/substratum egg scatterers,"A female attracts a few males with her darting movements. Together, the group dives into a mass of filamentous algae and release sperm and nonadhesive eggs. The group spawns in several algal masses."
Chrysiptera cyanea,NA,guarders,nesters,"Oviparous, distinct pairing during breeding (Ref. 205).  Eggs are demersal and adhere to the substrate (Ref. 205).  Males guard and aerate the eggs (Ref. 205)."
Cichlasoma dimerus,NA,guarders,clutch tenders,NA
Clarias batrachus,one clear seasonal peak per year,guarders,nesters,"The pair manifests the 'spawning embrace' which is widely observed in other catfish species (Ref. 33313). The pair gently nudge each other in the genital region and flick their dorsal fins; male wraps his body around the female, then the female releases a stream of adhesive eggs into the nest (Ref. 44091). In southeast Asia, spawning period is during the rainy season, when rivers rise and fish are able to excavate nests in submerged mud banks and dikes of flooded rice fields (Ref. 40977)."
Clarias gariepinus,one clear seasonal peak per year,nonguarders,open water/substratum egg scatterers,Oviparous.  Spawning takes place during the rainy season in flooded deltas.  The fishes make a lateral migration towards the inundated plains to breed and return to the river or lake soon afterwards while the juveniles remain in the inundated area.  Juveniles return to the lake or river when they are between 1.5 and 2.5 cm long (Ref. 34291).  First sexual maturity occurs when females are between 40-45 cm and males between 35-40 cm. Eggs are greenish. Incubations lasts little (about 33 hours at 25°C).
Clupea harengus,no obvious seasonal peak,nonguarders,open water/substratum egg scatterers,"The herring matures between 2-9 years (Refs. 35388, 82767, 89571). Herring populations are known to use traditional spawning grounds, many of which are along shallow coastal areas (15-40 m depth) or on offshore banks down to 200 m (Refs. 6684, 89572). Spawning usually occurs on gravel or rock bottoms, with the exception of Baltic populations which show a preference for shallow (less than 10 m depth) seaweed beds (Refs. 89520, 89572). Each population spawns only once a year over a relatively short time period (Ref. 89573). At least one population is spawning in any one month of the year, each having a different spawning time and place. The herring is a demersal spawner that releases a ribbon of sticky eggs that sink to the sea bed (Ref. 89574) and adhere to the substrate. The eggs released by a spawning population may be several layers thick which may deprive eggs in the bottom layers of oxygen, causing egg mortality (Ref. 89563). Although higher fecundities were reported earlier (e.g. Ref. 74523), fecundity now ranges from 10,000-60,000 eggs (Ref. 89571). Hatching may take up to 3 weeks, depending on temperature (Ref. 89571). Larvae are pelagic and drift with the current. Note: it is impossible to summarize briefly the wide range of spawning strategies of Atlantic herring; the best reviews are those of Svetovidov (Refs. 4608, 4609) for the Eastern Atlantic Ocean and Hildebrand (Ref. 4607) for the Western Atlantic Ocean."
Cobitis biwae,NA,nonguarders,open water/substratum egg scatterers,NA
Cobitis taenia,NA,nonguarders,open water/substratum egg scatterers,"Start of courtship is observed when both male and female swim excitedly then progresses to a chase done by the male. When movements become synchronised, the male entwines itself around the female's body, squeezing it and causing egg spawning (Ref. 58425).
Triploid females can occur; they produce triploid eggs which can develop without fertilization, but need contact with sperm to start development (gynogenesis) (Ref. 36876). Also Ref. 9953."
Cololabis saira,NA,nonguarders,NA,Oviparous (Ref. 36573).
Colossoma macropomum,one clear seasonal peak per year,nonguarders,open water/substratum egg scatterers,NA
Coptodon rendalli,NA,guarders,nesters,Prefers a sloping spawning ground near the marginal fringe of vegetation (Ref. 3). Builds nest in shallow water where both parents guard the eggs and young.    
Coptodon zillii,NA,guarders,clutch tenders,Spawns in lake bottoms with pebbles or sand and abundant vegetation (Ref. 3). Lays adhesive eggs on the substratum which are guarded by both parents (Ref. 6298). Reported to deposit and guard eggs in shallow nest (Ref. 12069). Produces up to 1000 eggs (Ref. 1672).
Coregonus lavaretus,one clear seasonal peak per year,nonguarders,open water/substratum egg scatterers,Spawning takes place at night.      
Corydoras acutus,NA,nonguarders,brood hiders,"The female holds 2-4 eggs between her pelvic fins, where the male fertilizes them for about 30 seconds. Only then the female swims to a suitable spot, where she attaches the very sticky eggs. The pair repeats this process until about 100 eggs have been fertilized and attached (Ref. 1672)."
Corydoras paleatus,NA,nonguarders,brood hiders,"The female holds 2-4 eggs between her pelvic fins, where the male fertilizes them for about 30 seconds. Only then the female swims to a suitable spot, where she attaches the very sticky eggs. The pair repeats this process until about 100 eggs have been fertilized and attached (Ref. 1672)."
Coryphaena hippurus,variable throughout range,nonguarders,open water/substratum egg scatterers,"In East African waters, spawning season may last from March to early June and spawning occurs inshore. In the western Pacific, sex ratios were about equal during spawning season. Spawning in the western Atlantic occurs over an extended period of time.
Spawn naturally in captivity without artificial inducement (Ref. 41779)."
Ctenopharyngodon idella,one clear seasonal peak per year,nonguarders,open water/substratum egg scatterers,Spawns in gravel bottomed areas of rivers (Ref. 48). Eggs are pelagic and hatch while drifting downstream in 2-3 days (Ref. 59043).    
Ctenopoma acutirostre,NA,nonguarders,open water/substratum egg scatterers,NA
Cyclothone atraria,NA,nonguarders,NA,Oviparous (Ref. 35800).
Cynotilapia afra,NA,bearers,external brooders,Sexual maturity is reached at 6-8 months. Female mouth brooder.
Cyprinus carpio,variable throughout range,nonguarders,open water/substratum egg scatterers,"Spawn in marginal, shallow, weed-infested areas. A polytypic plastic species with a marked tendency to produce `varieties' and `races' in response to selective breeding and environmental influences. Carp is polygamous. A spawning female is usually followed by several males. Under tropical conditions carp breeds throughout the year. It is a seasonal spawner in temperate waters (Ref. 185).  Females are known to lay more than a million eggs in a season; breeds at a temperature range of 15° C to 20°C; eggs hatch in 4 days (Ref. 6028). Obligatory plant spawners (Ref. 7471). ""Adults often make considerable spawning migrations to suitable backwaters and flooded meadows.  Individual females spawn with a few males in dense vegetation.  The sticky eggs are attached to water plants or other submerged objects. Reproductive success is restricted to years when the water level starts rising in May and when high temperatures and flooding of terrestrial vegetation last for a long period during May and June"" (Ref. 59043)."
Danio rerio,"throughout the year, but peaking once",nonguarders,open water/substratum egg scatterers,"Breed all year round (Ref. 58931).  From Johnson (1932), 'a female never extrudes eggs during active courtship until the genital organ comes in contact with that of the male, whereupon a small stream of eggs is ejected' (Ref. 205). Violent dashing and chasing characterise courtship finally culminating in eggs being shed a few at a time, settling freely without adhering to the bottom surface (Ref. 205)."
Dascyllus aruanus,NA,guarders,nesters,"Male selects and protects the nest; does the courtship `dance' about 1 m above the nest and escorts the attracted female to the nest site where spawning ensues (Ref. 33146). Oviparous, distinct pairing during breeding (Ref. 205).  Eggs are demersal and adhere to the substrate (Ref. 205).  Also Ref. 103751."
Deania hystricosa,NA,bearers,internal live bearers,"Ovoviviparous, embryos feed solely on yolk (Ref. 50449).  Distinct pairing with embrace (Ref. 205)."
Decapterus maruadsi,NA,nonguarders,open water/substratum egg scatterers,NA
Dermogenys pusilla,NA,bearers,internal live bearers,Gives birth to 10-30 young.
Dissostichus eleginoides,one clear seasonal peak per year,NA,NA,May spawn for the first time from around 8-10 years of age (Ref. 71843).
Dissostichus mawsoni,NA,NA,NA,NA
Distichodus affinis,NA,nonguarders,open water/substratum egg scatterers,NA
Echeneis naucrates,NA,nonguarders,NA,NA
Dicentrarchus labrax,one clear seasonal peak per year,nonguarders,open water/substratum egg scatterers,"Spawn in groups. Eggs are pelagic. In the Mediterranean, first sexual maturity occurs generally between 2 and 4 years of age while in the Atlantic sexual maturity happens a little later (males between 4-7 years and females between 5-8 years). Spawning happens just once a year and it tends to be in winter, although in southern areas it can occur in spring. Eggs have 1-2 fat drops that fuse about 12 hours after laying. Embryo development lasts about three days at 13-14°C and larval development about 40 days at 19°C. Egg size 1.1-1.5 mm, larval length at hatching 3 mm."
Dictyosoma burgeri,NA,guarders,nesters,Also Ref. 101194.
Diplodus sargus,one clear seasonal peak per year,nonguarders,open water/substratum egg scatterers,"Sexes separate or protandrous (Ref. 4781). In some areas, this species occurs as a digynic hermaphrodite, that is, males and females developing  from intermediate juveniles (Ref. 52202).  However, protandry with possible digyny was later confirmed (Ref. 103751). Reaches sexual maturity at 2 years, with an approximate size of 17 cm. Spawning happens from January to March. Egg size 0.8-0.9 mm; larval length at hatching 2.6 mm.  Also Ref. 28504."
Diplophos taenia,NA,nonguarders,NA,Oviparous (Ref. 35800).
Ditrema temminckii,NA,bearers,internal live bearers,Viviparous with 13 embryos. Young are born between May and June (Ref. 559).  Female carries the developing young (Ref. 205).
Dolloidraco longedorsalis,NA,NA,NA,NA
Eigenmannia virescens,NA,nonguarders,brood hiders,Lays 100-200 eggs which adhere to leaves of aquatic plants (Ref. 27188).
Electrophorus electricus,one clear seasonal peak per year,guarders,nesters,"Males construct foam nests and guard the growing larvae until mid-January when the first seasonal rains flood the breeding area, causing the about 10 cm long young eels to disperse (Ref. 40645).
Males outnumber females (3:1) and are considerably larger than females (Ref. 40645).
There are three successive batches of eggs deposited in a spawning period. Not all eels with fully developed gonads (in Goiapi drainnage) participated in the annual spawning activity suggesting that mating success depends in part on finding suitable breeding sites (Ref. 40645)."
Eleginops maclovinus,NA,NA,NA,NA
Engraulis japonicus,variable throughout range,nonguarders,open water/substratum egg scatterers,      
Enoplosus armatus,NA,nonguarders,open water/substratum egg scatterers,NA
Epinephelus malabaricus,NA,nonguarders,open water/substratum egg scatterers,NA
Entomacrodus stellifer,NA,guarders,nesters,"Oviparous, distinct pairing (Ref. 205)."
Eopsetta grigorjewi,NA,nonguarders,open water/substratum egg scatterers,NA
Epinephelus adscensionis,NA,nonguarders,open water/substratum egg scatterers,NA
Epinephelus coioides,one clear seasonal peak per year,nonguarders,open water/substratum egg scatterers,Pelagic spawner (Ref. 32184).
Eptatretus atami,NA,nonguarders,NA,"Copulatory organ absent. The gonads of hagfishes are situated in the peritoneal cavity. The ovary is found in the anterior portion of the gonad, and the testis is found in the posterior part. The animal becomes female if the cranial part of the gonad develops or male if the caudal part undergoes differentiation. If none develops, then the animal becomes sterile. If both anterior and posterior parts develop, then the animal becomes a functional hermaphrodite. However, hermaphroditism being characterised as functional needs to be validated by more reproduction studies (Ref. 51361 )."
Erpetoichthys calabaricus,"throughout the year, but peaking once",nonguarders,open water/substratum egg scatterers,"Parallel swimming courtship; female deposits few eggs between anal fins of male, where they are fertilized and then scattered in vegetation where they immediately stick to substrate. This procedure is repeated many times. Eggs are 2.1-2.6 mm in diameter. Larvae hatch after 70 hours but remain attached to vegetation; 22 days after hatching the yolk sac is absorbed and larvae start feeding."
Esox lucius,one clear seasonal peak per year,nonguarders,open water/substratum egg scatterers,"Spawners move inshore or upstream to the marsh areas to spawn (Ref. 27547). Generally, spawning occurs during the day. The sexes pair and a larger female is usually attended by one or two smaller males. They swim through and over the vegetation in water usually less than 17.8 cm, releasing eggs and sperm simultaneously at irregular intervals (Ref. 1998).  Eggs are deposited in flooded areas and on submerged vegetation over a period of 2-5 days (Ref. 59043).  Only 5 to 60 eggs ae released at a time (Ref. 27547). This act is repeated every few minutes for up to several hours, after which the fish rest for some time before resuming. During the resting period, both male and female may take new mates, or they may continue together for several days until all eggs are extruded. Spawned-out adults may stay on the spawning grounds for as long as 14 weeks, but most leave within 6 (Ref. 27547)."
Etmopterus brachyurus,NA,bearers,internal live bearers,Distinct pairing with embrace (Ref. 205).
Etroplus suratensis,"throughout the year, but peaking once",guarders,clutch tenders,"After spawning, about 500 eggs are laid and attached to a submerged log, rock or sometimes roots and weeds, in still or slow flowing water. Parents guard and fan the eggs until hatching, usually about 4 days. The fry shoal around their parents during the first weeks of growth. Parents refrain from feeding from the time of spawning until the fry become independent."
Eutropiichthys vacha,NA,nonguarders,open water/substratum egg scatterers,Distinct pairing (Ref. 205).
Exodon paradoxus,NA,nonguarders,open water/substratum egg scatterers,NA
Gadus chalcogrammus,one clear seasonal peak per year,nonguarders,open water/substratum egg scatterers,"Oviparous, sexes are separate (Ref. 205).  Congregate in dense schools to spawn, usually at 50 to 250 m depth."
Gadus macrocephalus,one clear seasonal peak per year,nonguarders,open water/substratum egg scatterers,"From late summer to mid-winter, fish move into the deeper water (100 to 250 m) of spawning areas; move inshore to depths of 30 to 60 m after spawning (Ref. 27547). Spawning occurs once a year (Ref. 120291)."
Gambusia affinis,no obvious seasonal peak,bearers,internal live bearers,The species is viviparous (Ref. 5258). Internal fertilization is possible because the anal fin of the male is modified into a copulatory organ. The females carries about 30 alevins and gestation lasts for a period of  24 days (Ref. 6348) to a month (Ref. 30578).
Gasteropelecus sternicla,NA,nonguarders,NA,NA
Gasterosteus aculeatus,one clear seasonal peak per year,guarders,nesters,"Spawning behavior is similar for both freshwater and anadromous forms (Ref. 28966). Just before breeding, males become very territorial. The male builds a nest of plant-material glued together with spiggin, a protein produced in the kidney (Ref. 52349). Once a nest is built, the male entices the female into the nest by performing a courtship dance which is a series of  zigzag movements (Ref. 1998). A receptive female follows the male who points the opening of the nest by posing above it with his head down. The female enters the nest, deposits up to a few hundred eggs, and is driven out by the male after eggs have been deposited. The male then enters the nest to fertilize the eggs. The male can choose to court another female to enter the nest and lay eggs before entering himself to fertilise the deposited eggs. Females may lay eggs in several nests over a period of several days or may be courted by the same male (Ref. 27547). The male guards and ventilates the eggs and young (Ref. 1998).  During spawning season, males develop a bright orange to red belly and blue-green flank and eyes.  Eggs hatch in 7-8 days.  Anadromous forms usually die of exhaustion after spawning cycle.  Freshwater individuals are able to complete several cycles within one year or sometimes over several years (Ref. 59043)."
Geophagus steindachneri,NA,bearers,external brooders,Very little is known of the breeding habits of this peaceful species (Ref. 12251).
Glossanodon semifasciatus,NA,nonguarders,NA,NA
Gnathonemus petersii,NA,NA,NA,NA
Gobionotothen gibberifrons,one clear seasonal peak per year,nonguarders,brood hiders,Mature females may spawn for the first time from around 6-8 years of age (Ref. 71843).
Gobius niger,NA,guarders,nesters,Repeat spawner (Ref. 4696). Male guards eggs.
Gymnarchus niloticus,NA,guarders,nesters,"Breeds in well-vegetated, marginal areas of swamps and rivers, where a large, floating nest, about 1 m in diameter, is constructed, in which the eggs are laid and later guarded by one of the parents (Ref. 27583). Distinct pairing (Ref. 205)."
Gymnocephalus cernua,NA,nonguarders,open water/substratum egg scatterers,"Eggs turn adhesive on contact with water and stick to stones or plants. Females lay eggs in two or more portions, usually separated by about 30 days in summer.  First portion of eggs is larger the second portion.  Larvae without or with only a brief, pelagic larval stage, switching early to benthic life, secretive and solitary, not forming schools. Larval survival is poor below 10°C and above 20°C (Ref. 59043)."
Gymnocorymbus ternetzi,NA,nonguarders,open water/substratum egg scatterers,NA
Gymnodraco acuticeps,NA,nonguarders,NA,NA
Gymnogeophagus balzanii,NA,bearers,external brooders,Larvophile mouth brooders. Female tends the clutch. This updates previous information from Ref. 1672.
Gymnogeophagus meridionalis,NA,guarders,clutch tenders,Eggs are attached to hard substrates such as stones; both parents care for eggs and larvae (Ref. 42572). 
Gymnotus carapo,NA,guarders,nesters,Parental care is provided by the male. The male sits on a depression with its anal fin expanded horizontally guarding a cluster of larvae.  More larvae are spread out in leaf litter up to 2 m away (Ref. 55570).
Gyrinocheilus aymonieri,NA,nonguarders,NA,NA
Halichoeres tenuispinis,NA,NA,NA,Distinct pairing during breeding (Ref. 205).
Halichoeres trimaculatus,NA,NA,NA,Bi-directional sex change has been confirmed for this species (Ref. 103751).  Distinct pairing during breeding (Ref. 205).
Hippocampus barbouri,NA,bearers,external brooders,Male carries the eggs in a brood pouch (Ref. 205).
Hippocampus coronatus,NA,bearers,external brooders,Male carries the eggs in a brood pouch (Ref. 205).
Hemiodus semitaeniatus,NA,guarders,nesters,Distinct pairing (Ref. 205).
