"","Species","Order","Family","Genus","SV","presence","genome.assembly","ott_id","flags","tips","SV.not.in.figure","image.files","description","Source"
"25","Latimeria chalumnae","Coelacanthiformes","Latimeriidae","Latimeria","0.5","present","",773491,"","Latimeria chalumnae","","","""Saccus-vasculosus-like organ""
vasculosus-like organ (S1O","doi.org/10.1007/BF00219465"
"26","Latimeria chalumnae","Coelacanthiformes","Latimeriidae","Latimeria","0.5","present","",773491,"","Latimeria chalumnae","","","""The saccus vasculosus is incompletely separated from the peptidergic posterior neurohypophysis."" ""A striking feature of Latimeria is the incomplete anatomical separation of the
saccus vasculosus from the posterior
neurohypophysis. Both neural systems
originate as tubular ependymal evaginations from the same paired primary processes of the posterior neurohypophysis,
and both are closely invested by the leptomeninges. ""","doi.org/10.1016/0016-6480(75)90184-7"
"27","Latimeria chalumnae","Coelacanthiformes","Latimeriidae","Latimeria","0.5","present","",773491,"","Latimeria chalumnae","","","""a small saccus vasculosus is present""","https://doi.org/10.2307/1444103"
"28","Latimeria chalumnae","Coelacanthiformes","Latimeriidae","Latimeria","0.5","present","",773491,"","Latimeria chalumnae","","","A striking feature of Latimeria is the incomplete anatomical separation of the saccus vasculosus from the posterior neurohypophysis.","https://doi.org/10.1016/0016-6480(75)90184-7"
"29","Chaetodon miliaris","Acanthuriformes","Chaetodontidae","Chaetodon","1","present","",766706,"","Chaetodon miliaris","","Chaetodon_miliaris_cross_section_right","","doi/full/10.1111/j.1365-2826.2008.01798.x"
"30","Chaetodon multicinctus","Acanthuriformes","Chaetodontidae","Chaetodon","1","present","",766709,"","Chaetodon multicinctus","","Chaetodon_multicinctus_cross_section_left","","doi/full/10.1111/j.1365-2826.2008.01798.x"
"31","Cyprinus carpio","Cypriniformes","Cyprinidae","Cyprinus","1","present","y",429083,"","Cyprinus carpio","","Cyprinus_carpio_image_ventral_lateral","However, the pituitary gland and saccus vasculosis extend from the hypothalamus, which is consistent with another study","https://doi.org/10.35943/2682-2512.1248"
"32","Echeneis naucrates","Carangiformes","Echeneidae","Echeneis","1","present","y",776562,"","Echeneis naucrates","","","Behind the hypophysis, there is a small saccus vasculosus, ovoid in shape and highly vascularized.","https://doi.org/10.1679/aohc1950.37.261"
"33","Echeneis naucrates","Carangiformes","Echeneidae","Echeneis","1","present","y",776562,"","Echeneis naucrates","","","Behind the hypophysis, there is a small
saccus vasculosus, ovoid in shape and highly vascularized.","https://doi.org/10.1679/aohc1950.37.261"
"34","Acarichthys heckelii","Cichliformes","Cichlidae","Acarichthys",NA,"present","",16170,"","Acarichthys heckelii","","Acarichythys_heckelii_image_ventral","","https://doi.org/10.1007/s10750-024-05531-4"
"35","Acipenser baerii","Acipenseriformes","Acipenseridae","Acipenser",NA,"present","",518827,"","Acipenser baerii","","","""The saccus vasculosus showed occasional CR-ir coronet cells ""","https://doi.org/10.1002/cne.23030"
"36","Acipenser transmontanus","Acipenseriformes","Acipenseridae","Acipenser",NA,"present","y",378925,"","Acipenser transmontanus","","","","https://doi.org/10.2108/zsj.13.347"
"37","Apareiodon affinis","Characiformes","Parodontidae","Apareiodon",NA,"present","",533482,"","Apareiodon affinis","","","""the Saccus vasculosus is elongated, without defined shape""","https://doi.org/10.11606/T.59.2014.tde-18122014-143500"
"38","Conger myriaster","Anguilliformes","Congridae","Conger",NA,"present","",479867,"","Conger myriaster","","Astroconger_myriaster_sagittal_section","","https://doi.org/10.1679/aohc1950.21.369"
"39","Erpetoichthys calabaricus","Polypteriformes","Polypteridae","Erpetoichthys",NA,"present","",451269,"","Erpetoichthys calabaricus","","","","https://doi.org/10.1007/BF00213859"
"40","Cottoperca gobio","Perciformes/Notothenioidei","Bovichtidae","Cottoperca",NA,"present","y",867530,"","Cottoperca gobio","","Cottoperca_gobio_image_coronalsection_fig5H.png
Cottoperca_gobio_image_coronalsection_fig5J.png","""The saccus vasculosus is small.""","https://doi.org/10.1002/jmor.10534"
"41","Dasyatis akajei",NA,NA,NA,NA,"present","",225332,"sibling_higher","Dasyatis akajei","","Dasyatis_akajei_sagittal_section","","https://doi.org/10.1679/aohc1950.21.369"
"42","Epinephelus adscensionis","Perciformes/Serranoidei","Epinephelidae","Epinephelus",NA,"present","",534151,"","Epinephelus adscensionis","","Epinephelus_adscensionis_drawing_cross_section_Fig4.png","","https://doi.org/10.1016/j.jchemneu.2011.06.005"
"43","Sander lucioperca","Perciformes/Percoidei","Percidae","Sander",NA,"present","y",557682,"","Sander lucioperca","","","In the depression surrounded by the lateral lobes and the caudal edges of the medial lobe lies a huge blood vessel sac (saccus vasculosus) previously only seen in the brain of Lucioperca lucioperca.","https://publikacio.uni-eszterhazy.hu/1155/1/263-284_Bende.pdf"
"44","Scophthalmus maximus","Pleuronectiformes","Scophthalmidae","Scophthalmus",NA,"present","",778695,"","Scophthalmus maximus","","","It is probable that these cells correspond to ‘coronet cells’ in the anlage of the saccus vasculosus","doi:10.1159/000047214 "
"45","Pseudopleuronectes americanus","Pleuronectiformes","Pleuronectidae","Pseudopleuronectes",NA,"present","y",261419,"","Pseudopleuronectes americanus","","","n","https://doi.org/10.1016/j.peptides.2010.05.017"
"46","Salminus brasiliensis","Characiformes","Bryconidae","Salminus",NA,"present","y",419009,"","Salminus brasiliensis","","","","https://doi.org/10.11606/D.42.2011.tde-26012012-135332"
"47","Oncorhynchus mykiss irideus",NA,NA,NA,NA,"present","",578312,"infraspecific","Oncorhynchus mykiss irideus","","Salmo_irideus_cross_section","","https://doi.org/10.1679/aohc1950.21.369"
"48","Serrasalmus maculatus","Characiformes","Serrasalmidae","Serrasalmus",NA,"present","",900276,"","Serrasalmus maculatus","","","""the Saccus vasculosus is clearly visible, but is located
below the inferior lobus hypothalami""","https://doi.org/10.11606/T.59.2014.tde-18122014-143500"
"49","Silurus asotus","Siluriformes","Siluridae","Silurus",NA,"present","y",967323,"","Silurus asotus","","Silurus_asotus_sagittal_section","","https://doi.org/10.1679/aohc1950.21.369"
"50","Sphoeroides rubripes",NA,NA,NA,NA,"present","",3631199,"","Sphoeroides rubripes","","Sphoeroides_rubripes_sagittal_section","","https://doi.org/10.1679/aohc1950.21.369"
"51","Enoplosus armatus","Centrarchiformes","Enoplosidae","Enoplosus","","present","y",54499,"","Enoplosus armatus","","","Nerve fibre dilatations in close contact with a coronet cell in Enoplosus armatus.","https://doi.org/10.1071/ZO9710327"
"52","Mystus bleekeri","Siluriformes","Bagridae","Mystus","","present","",484171,"","Mystus bleekeri","","","In Nangra punctata, Mystus bleekeri and JVI. tengara, the vascularisation is much more reduced, but the quantity of secretory substance stored is comparatively more.","https://doi.org/10.1007/BF00633910"
"53","Mystus cavasius","Siluriformes","Bagridae","Mystus","","present","",394571,"","Mystus cavasius","","","Folding of the dorsal wall of the saccus vasculosus is observed in Mystus gulio and Mystus cavasius. There is a high degree of vascular supply to the saccus vasculosus, but the quantity of the secretion is very much less. In these forms, tile saccus vasculosus has become an active secretory organ with an increase in the area of coronet cells","https://doi.org/10.1007/BF00633910"
"54","Mystus gulio","Siluriformes","Bagridae","Mystus","","present","",728947,"","Mystus gulio","","","Folding of the dorsal wall of the saccus vasculosus is observed in Mystus gulio and Mystus cavasius. There is a high degree of vascular supply to the saccus vasculosus, but the quantity of the secretion is very much less. In these forms, tile saccus vasculosus has become an active secretory organ with an increase in the area of coronet cells","https://doi.org/10.1007/BF00633910"
"55","Sperata seenghala","Siluriformes","Bagridae","Sperata","","present","",250296,"","Sperata seenghala","","","Coinciding with an increase in the dorsal folds of the wall of the saccus vasculosus in Mystus seenghala and Silonia silondia, there occurs an increase ill quantity of the secretion; however, the degree of vascularisation is reduced.","https://doi.org/10.1007/BF00633910"
"56","Mystus tengara","Siluriformes","Bagridae","Mystus","","present","",863892,"","Mystus tengara","","","In Nangra punctata, Mystus bleekeri and JVI. tengara, the vascularisation is much more reduced, but the quantity of secretory substance stored is comparatively more.","https://doi.org/10.1007/BF00633910"
"57","Gogangra viridescens","Siluriformes","Sisoridae","Gogangra","","present","",641167,"","Gogangra viridescens","","","In Nangra punctata, Mystus bleekeri and JVI. tengara, the vascularisation is much more reduced, but the quantity of secretory substance stored is comparatively more.","https://doi.org/10.1007/BF00633910"
"58","Ompok bimaculatus","Siluriformes","Siluridae","Ompok","","present","y",670820,"","Ompok bimaculatus","","","The greatest activity of the saccus vasculosus as a secretory organ is seen in Ompok bimaculatus in which it shows abundant secretion stored ill the lumen of the organ.","https://doi.org/10.1007/BF00633910"
"59","Polyodon spathula","Acipenseriformes","Polyodontidae","Polyodon","","present","y",904101,"","Polyodon spathula","","polyodon_spathula_drawing_sagittal","","https://doi.org/10.1016/0016-6480(73)90190-1"
"60","Silonia silondia","Siluriformes","Schilbeidae","Silonia","","present","",350492,"","Silonia silondia","","","Coinciding with an increase in the dorsal folds of the wall of the saccus vasculosus in Mystus seenghala and Silonia silondia, there occurs an increase ill quantity of the secretion; however, the degree of vascularisation is reduced.","https://doi.org/10.1007/BF00633910"
"61","Aequidens plagiozonatus","Cichliformes","Cichlidae","Aequidens",NA,"present","",3636223,"","Aequidens plagiozonatus","","Aequidens_plagiozonatus_image_ventral","","https://doi.org/10.1007/s10750-024-05531-4"
"62","Anguilla anguilla","Anguilliformes","Anguillidae","Anguilla",NA,"present","y",854201,"","Anguilla anguilla","","","The following tissues, dissected according to (44, 45), were analyzed in both species: whole brain, pituitary, gill, heart, liver, spleen, kidney, intestine, fat, muscle, skin and gonad. For detailed brain distribution the following tissues were also analyzed: olfactory bulbs, telencephalon, mesencephalon, diencephalon, optic tectum, cerebellum, medulla oblongata as well as saccus vasculosus, epiphysis, pituitary and retina.","https://doi.org/10.3389/fendo.2022.937218"
"63","Chelon labrosus","Mugiliformes","Mugilidae","Chelon",NA,"present","y",777079,"","Chelon labrosus","","Chelon_labrosus_image_close_section","Several circumventricular organs (the organon vasculosum hypothalami, saccus vasculosus, and area postrema) exhibited highly specialized Vim- and/or GFAP-expressing glial cells.","https://doi.org/10.1002/cne.11021"
"64","Scyliorhinus canicula","Carcharhiniformes","Scyliorhinidae","Scyliorhinus",NA,"present","",1026500,"","Scyliorhinus canicula","","Scyliorhinus_canicula_close_section","","10.1159/000104309"
"65","Piaractus brachypomus","Characiformes","Serrasalmidae","Piaractus","","present","",24657,"","Piaractus brachypomus","","Piaractus_brachypomus_cross_section_fig5M","","http://hdl.handle.net/10654/17553"
"66","Roeboexodon guyanensis","Characiformes","Characidae","Roeboexodon","","present","",575376,"","Roeboexodon guyanensis","","","""the saccus vasculosus is absent""","https://doi.org/10.11606/T.59.2014.tde-18122014-143500"
"67","Amia calva","Amiiformes","Amiidae","Amia","0","absent","y",329623,"","Amia calva","y","Amia_calva_cross_section","","https://doi.org/10.1016/j.ygcen.2012.11.013"
"68","Amia calva","Amiiformes","Amiidae","Amia","0","absent","y",329623,"","Amia calva","y","","","https://doi.org/10.1093/icb/22.2.287"
"69","Anableps anableps","Cyprinodontiformes","Anablepidae","Anableps","0","absent","y",349121,"","Anableps anableps","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"70","Aphyocharax dentatus","Characiformes","Characidae","Aphyocharax","0","absent","",13154,"","Aphyocharax dentatus","","","""the Saccus vasculosus is practically
absent and/or inconspicuous, only visible as a small structure
rounded""","https://doi.org/10.11606/T.59.2014.tde-18122014-143500"
"71","Arapaima gigas","Osteoglossiformes","Arapaimidae","Arapaima","0","absent","y",335725,"","Arapaima gigas","","","""In all probability, the saccus vasculosus is absent in Arapaima. ""","chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.jstage.jst.go.jp/article/jji1950/33/1/33_1_27/_pdf/-char/ja"
"72","Arapaima gigas","Osteoglossiformes","Arapaimidae","Arapaima","0","absent","y",335725,"","Arapaima gigas","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"73","Astyanax jordani","Characiformes","Characidae","Astyanax","0","absent","",1044706,"","Astyanax jordani","y","","","https://doi.org/10.11606/T.59.2014.tde-18122014-143500"
"74","Astyanax mexicanus","Characiformes","Characidae","Astyanax","0","absent","y",701518,"","Astyanax mexicanus","y","Astyanax_mexicanus_image_lateral","","10.1525/bio.2013.63.4.7"
"75","Austrolebias charrua","Cyprinodontiformes","Rivulidae","Austrolebias","0","absent","y",688711,"","Austrolebias charrua","","","""The saccus vasculosus, a structure occurring in some fish and amphibians, could not be found in G. charrua or other teleosts with small water habitats (van de Kamer & Schuurmans, 1953)""","https://doi.org/10.1002/ar.25432"
"76","Belonesox belizanus","Cyprinodontiformes","Poeciliidae","Belonesox","0","absent","",913297,"","Belonesox belizanus","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"77","Betta splendens","Anabantiformes","Osphronemidae","Betta","0","absent","",1033356,"","Betta splendens","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"78","Boulengerella cuvieri","Characiformes","Ctenoluciidae","Boulengerella","0","absent","",3625788,"","Boulengerella cuvieri","y","","","https://doi.org/10.11606/T.59.2014.tde-18122014-143500"
"79","Bovichtus diacanthus","Perciformes/Notothenioidei","Bovichtidae","Bovichtus","0","absent","y",842177,"","Bovichtus diacanthus","y","","","DOI:10.3390/d16040214"
"80","Caenotropus labyrinthicus","Characiformes","Chilodontidae","Caenotropus","0","absent","",546967,"","Caenotropus labyrinthicus","y","","","https://doi.org/10.11606/T.59.2014.tde-18122014-143500"
"81","Carassius auratus","Cypriniformes","Cyprinidae","Carassius","0","absent","y",1005907,"","Carassius auratus","","","""nucleus saccus vasculosus""","https://doi.org/10.1093/icb/13.3.743"
"82","Carassius auratus","Cypriniformes","Cyprinidae","Carassius","0","absent","y",1005907,"","Carassius auratus","","","""nucleus saccus vasculosus""","10.5283/epub.4143"
"83","Carassius auratus","Cypriniformes","Cyprinidae","Carassius","0","absent","y",1005907,"","Carassius auratus","","",""" von Hallerstein (1934) reported the presence of one in Cyprinus but there is none in Carassius. The saccus vasculosus is related in no way to the pituitary body""","chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://web.archive.org/web/20220304032553id_/https://www.biodiversitylibrary.org/partpdf/203661"
"84","Channa micropeltes","Anabantiformes","Channidae","Channa","0","absent","",332862,"","Channa micropeltes","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"85","Channa punctata","Anabantiformes","Channidae","Channa","0","absent","",1008460,"","Channa punctata","","Channa_punctatus_image_ventral","Saccus vacuolosus is absent","doi/full/10.5555/20163131589"
"86","Characidium fasciatum","Characiformes","Crenuchidae","Characidium","0","absent","",442774,"","Characidium fasciatum","y","","","https://doi.org/10.11606/T.59.2014.tde-18122014-143500"
"87","Charax leticiae","Characiformes","Characidae","Charax","0","absent","",1091396,"","Charax leticiae","","","""Saccus vasculosus is absent""","https://doi.org/10.11606/T.59.2014.tde-18122014-143500"
"88","Chrosomus eos","Cypriniformes","Leuciscidae","Chrosomus","0","absent","y",63845,"","Chrosomus eos","y","Chrosomus_eos_image_ventral","","https://doi.org/10.1093/cz/zoac086"
"89","Chrosomus eos","Cypriniformes","Leuciscidae","Chrosomus","0","absent","y",63845,"","Chrosomus eos","y","Chrosomus eos image ventral2","","https://spectrum.library.concordia.ca/id/eprint/991831/"
"90","Citharinus latus","Characiformes","Citharinidae","Citharinus","0","absent","",3624471,"","Citharinus latus","y","","","https://doi.org/10.11606/T.59.2014.tde-18122014-143500"
"91","Clarias gariepinus","Siluriformes","Clariidae","Clarias","0","absent","y",240811,"","Clarias gariepinus","y","Clarias_gariepinus_image_ventral","","https://www.researchgate.net/publication/366052108_Anatomical_Description_of_the_Central_Nervous_System_and_the_Vertebral_Column_of_the_African_Catfish_Clarias_gariepinus"
"92","Clupea harengus","Clupeiformes","Clupeidae","Clupea","0","absent","y",1005932,"","Clupea harengus","y","Clupea_harengus_drawing_lateral","","https://doi.org/10.1002/cne.903280406"
"93","Cobitis biwae","Cypriniformes","Cobitidae","Cobitis","0","absent","",638827,"","Cobitis biwae","","","""scarcely discernible  (Cobitis).""","chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.jstage.jst.go.jp/article/jji1950/33/1/33_1_27/_pdf/-char/ja"
"94","Cobitis biwae","Cypriniformes","Cobitidae","Cobitis","0","absent","",638827,"","Cobitis biwae","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"95","Cobitis",NA,NA,NA,"0","absent","",584643,"","Cobitis","","","","chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.jstage.jst.go.jp/article/jji1950/33/1/33_1_27/_pdf/-char/ja"
"96","Cololabis saira","Beloniformes","Scomberesocidae","Cololabis","0","absent","y",427511,"","Cololabis saira","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"97","Corydoras paleatus","Siluriformes","Callichthyidae","Corydoras","0","absent","",267119,"","Corydoras paleatus","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"98","Cottoperca trigloides","Perciformes/Notothenioidei","Bovichtidae","Cottoperca","0","absent","",3635394,"","Cottoperca trigloides","y","","","DOI:10.3390/d16040214"
"99","Cottus carolinae","Perciformes/Cottoidei","Cottidae","Cottus","0","absent","",466859,"","Cottus carolinae","y","Cottus_carolinae_image_lateral","","https%3A%2F%2Fwww.proquest.com%2Fdissertations-theses%2Fmorphology-genetics-physiology-troglomorphic%2Fdocview%2F305389192%2Fse-2%3Faccountid%3D14771"
"100","Crenicara punctulatum",NA,NA,NA,"0","absent","",461830,"","Crenicara punctulatum","","Crenicara_punctulatum_image_ventral","","https://doi.org/10.1007/s10750-024-05531-4"
"101","Ctenolucius hujeta","Characiformes","Ctenoluciidae","Ctenolucius","0","absent","",990661,"","Ctenolucius hujeta","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"102","Ctenopharyngodon idella","Cypriniformes","Xenocyprididae","Ctenopharyngodon","0","absent","y",1005936,"","Ctenopharyngodon idella","y","Ctenopharyngodon_idellus_image_ventral","","https://sci-hub.se/10.1016/j.cbd.2019.100653"
"103","Cheilopogon heterurus","Beloniformes","Exocoetidae","Cheilopogon","0","absent","",850211,"","Cheilopogon heterurus","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"104","Dermogenys pusilla","Beloniformes","Zenarchopteridae","Dermogenys","0","absent","",139152,"","Dermogenys pusilla","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"105","Dicentrarchus labrax","Eupercaria/misc","Moronidae","Dicentrarchus","0","absent","y",3549,"","Dicentrarchus labrax","","","""The Hc contains a small cell population termed the nucleus of the saccus vasculosus (NSV) as well as the posterior recess nucleus (NRP) of Peter and Gill (1975).""","https://doi.org/10.1016/S1546-5098(09)28001-0"
"106","Dicrossus warzeli","Cichliformes","Cichlidae","Dicrossus","0","absent","",3636430,"","Dicrossus warzeli","","Dicrossus_warzelii_image_ventral","","https://doi.org/10.1007/s10750-024-05531-4"
"107","Diplomystes mesembrinus",NA,NA,NA,"0","absent","",536094,"","Diplomystes mesembrinus","y","","no comment on this species' SV","https://doi.org/10.1093/zoolinnean/zly011"
"108","Electrophorus electricus","Gymnotiformes","Gymnotidae","Electrophorus","0","absent","y",216168,"","Electrophorus electricus","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"109","Esox lucius","Esociformes","Esocidae","Esox","0","absent","y",739941,"","Esox lucius","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"110","Exodon paradoxus","Characiformes","Characidae","Exodon","0","absent","",335632,"","Exodon paradoxus","","","""the saccus vasculosus is absent""","https://doi.org/10.11606/T.59.2014.tde-18122014-143500"
"111","Glossolepis incisus",NA,NA,NA,"0","absent","",976546,"","Glossolepis incisus","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"112","Gymnarchus niloticus","Osteoglossiformes","Gymnarchidae","Gymnarchus","0","absent","y",115490,"","Gymnarchus niloticus","","","""Among the examined osteoglossomorphs, Pantodon and Gymnarchus do not possess the saccus vasculosus. ""","chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.jstage.jst.go.jp/article/jji1950/33/1/33_1_27/_pdf/-char/ja"
"113","Gymnarchus niloticus","Osteoglossiformes","Gymnarchidae","Gymnarchus","0","absent","y",115490,"","Gymnarchus niloticus","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"114","Gymnogeophagus balzanii","Cichliformes","Cichlidae","Gymnogeophagus","0","absent","",416755,"","Gymnogeophagus balzanii","","Geophagus_balzanii_image_ventral","","https://doi.org/10.1007/s10750-024-05531-4"
"115","Gymnogeophagus meridionalis","Cichliformes","Cichlidae","Gymnogeophagus","0","absent","",450053,"","Gymnogeophagus meridionalis","","Gymnogeophagus_meridionalis_image_ventral","","https://doi.org/10.1007/s10750-024-05531-4"
"116","Nimbochromis venustus","Cichliformes","Cichlidae","Nimbochromis","0","absent","",888881,"","Nimbochromis venustus","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
"117","Helostoma temminkii",NA,NA,NA,"0","absent","",754856,"","Helostoma temminkii","","","","https://doi.org/10.1111/j.1463-6395.1992.tb00950.x"
